Time,1,2,3
123.039288,-5735.135762,-36853.007895,-29536.608402
123.043316,-5736.327855,-36856.202704,-29539.040272
123.047344,-5737.901418,-36856.584174,-29539.850895
123.051372,-5738.521306,-36854.390723,-29539.183323
123.055400,-5737.949102,-36853.675467,-29537.562077
123.059428,-5736.089437,-36851.672751,-29535.463993
123.063456,-5734.086720,-36846.904379,-29532.936756
123.067484,-5731.940953,-36845.712286,-29531.172458
123.071512,-5730.224339,-36846.236807,-29530.695621
123.075540,-5730.844227,-36845.044714,-29531.315509
123.079568,-5732.894627,-36844.949346,-29531.887714
123.083596,-5733.466832,-36843.471151,-29532.412235
123.087624,-5733.514516,-36841.802221,-29532.459919
123.091652,-5734.754292,-36844.806295,-29533.985798
123.095680,-5732.894627,-36849.860769,-29534.844105
123.099708,-5731.559483,-36852.244956,-29534.462635
123.103736,-5733.180730,-36854.438407,-29534.605686
123.107764,-5734.563557,-36854.724509,-29534.224216
123.111792,-5734.754292,-36853.532416,-29533.556644
123.115820,-5736.280171,-36851.911170,-29533.318226
123.119848,-5736.423223,-36849.813086,-29533.556644
123.123876,-5734.611241,-36849.860769,-29532.316867
123.127904,-5732.322423,-36849.813086,-29532.269184
123.131932,-5731.845585,-36848.477942,-29531.601612
123.135960,-5732.370106,-36846.713644,-29532.030765
123.139988,-5733.180730,-36845.998388,-29532.459919
123.144016,-5733.037678,-36844.567876,-29533.079807
123.148044,-5734.515874,-36844.424825,-29533.938114
123.152072,-5736.137120,-36845.569235,-29536.083881
123.156100,-5737.376897,-36846.570593,-29537.800495
123.160128,-5739.236562,-36848.191839,-29539.612477
123.164156,-5740.619390,-36850.671393,-29541.472142
123.168184,-5741.334646,-36850.957495,-29543.188756
123.172212,-5740.953176,-36850.051504,-29543.951695
123.176240,-5740.333288,-36849.622351,-29543.522542
123.180268,-5739.808767,-36849.908453,-29543.808644
123.184296,-5740.524023,-36849.097830,-29544.857686
123.188324,-5741.382330,-36849.097830,-29545.811361
123.192352,-5741.191595,-36849.765402,-29546.955770
123.196380,-5742.097585,-36850.766760,-29549.435323
123.200408,-5742.383688,-36850.385290,-29550.579733
123.204436,-5742.431372,-36850.385290,-29552.582449
123.208464,-5741.525381,-36851.958853,-29554.108328
123.212492,-5742.526739,-36852.769477,-29553.536123
123.216520,-5740.905492,-36850.242239,-29551.914877
123.220548,-5738.950460,-36846.999746,-29550.675100
123.224576,-5737.853734,-36846.093755,-29549.244589
123.228604,-5737.996785,-36845.998388,-29548.290914
123.232632,-5737.519948,-36844.758611,-29548.386282
123.236660,-5738.950460,-36844.615560,-29548.147863
123.240688,-5739.951818,-36846.284490,-29546.383565
123.244716,-5739.618032,-36845.759969,-29542.282765
123.248744,-5739.522664,-36843.518835,-29538.372700
123.252772,-5739.618032,-36841.468435,-29533.747379
123.256800,-5739.284246,-36840.514760,-29530.075732
123.260828,-5739.236562,-36841.182332,-29527.834598
123.264856,-5740.333288,-36842.469793,-29527.786914
123.268884,-5738.664358,-36843.661886,-29526.499453
123.272912,-5737.615316,-36843.900304,-29526.356402
123.276940,-5737.567632,-36845.950704,-29526.880923
123.280968,-5737.806051,-36845.187765,-29528.502170
123.284996,-5736.184804,-36841.945272,-29527.262393
123.289024,-5737.233846,-36839.608769,-29527.500812
123.293052,-5738.092153,-36839.131932,-29527.977649
123.297080,-5737.186162,-36837.319951,-29526.451770
123.301108,-5736.709325,-36837.224583,-29523.400011
123.305136,-5736.900060,-36838.416676,-29522.732439
123.309164,-5736.518590,-36839.322667,-29521.588030
123.313192,-5736.232488,-36840.276341,-29519.871416
123.317220,-5736.232488,-36839.847188,-29519.680681
123.321248,-5736.041753,-36836.270909,-29519.632997
123.325276,-5736.852376,-36836.175541,-29522.017184
123.329304,-5739.713399,-36840.562444,-29527.262393
123.333332,-5743.909567,-36846.570593,-29537.466709
123.337360,-5751.348227,-36856.202704,-29552.630133
123.341388,-5760.217400,-36868.981942,-29570.988366
123.345416,-5767.894479,-36879.376993,-29587.296198
123.349444,-5772.472116,-36882.476435,-29598.263454
123.353472,-5772.424432,-36880.664454,-29601.362896
123.357500,-5769.420358,-36876.515970,-29595.879268
123.361528,-5763.650628,-36869.029626,-29583.004663
123.365556,-5757.499427,-36861.447914,-29568.270393
123.369584,-5751.968116,-36854.772193,-29555.967993
123.373612,-5747.819632,-36849.813086,-29545.811361
123.377640,-5743.241995,-36845.187765,-29537.943547
123.381668,-5739.951818,-36843.852621,-29534.414951
123.385696,-5738.235204,-36841.039281,-29531.983081
123.389724,-5735.040395,-36838.082890,-29528.502170
123.393752,-5732.417790,-36837.319951,-29524.544421
123.397780,-5731.893269,-36835.317234,-29522.255602
123.401808,-5730.939595,-36831.168751,-29519.585314
123.405836,-5729.509083,-36828.689197,-29517.916383
123.409864,-5730.701176,-36830.501179,-29517.773332
123.413892,-5734.325139,-36830.691913,-29518.679323
123.417920,-5734.182088,-36831.645588,-29519.251528
123.421948,-5734.277455,-36831.931690,-29520.252886
123.425976,-5734.277455,-36833.743672,-29521.015825
123.430004,-5733.752934,-36832.551579,-29520.586672
123.434032,-5732.751576,-36833.219151,-29521.158877
123.438060,-5733.133046,-36831.931690,-29520.252886
123.442088,-5734.229771,-36831.836323,-29519.442263
123.446116,-5735.851018,-36831.407169,-29519.299211
123.450144,-5736.804692,-36830.358127,-29520.777407
123.454172,-5736.041753,-36828.116992,-29520.252886
123.458200,-5736.613957,-36828.403095,-29520.825091
123.462228,-5735.707967,-36829.928974,-29521.731081
123.466256,-5734.754292,-36831.645588,-29521.874132
123.470284,-5734.372823,-36832.933048,-29521.254244
123.474312,-5735.421864,-36835.698704,-29521.969500
123.478340,-5736.852376,-36838.035207,-29523.781481
123.482368,-5739.618032,-36839.418034,-29525.068942
123.486396,-5741.334646,-36836.366276,-29525.402728
123.490424,-5742.336004,-36835.412602,-29526.356402
123.494452,-5742.669790,-36834.363560,-29526.022616
123.498480,-5741.382330,-36833.505253,-29525.116625
123.502508,-5739.761083,-36833.362202,-29525.021258
123.506536,-5737.519948,-36834.649662,-29525.307360
123.510564,-5736.327855,-36833.791355,-29524.306002
123.514592,-5736.184804,-36832.789997,-29525.927249
123.518620,-5738.044469,-36833.505253,-29527.500812
123.522648,-5738.330571,-36830.930332,-29527.786914
123.526676,-5740.953176,-36830.501179,-29528.168384
123.530704,-5743.432730,-36832.599262,-29530.838672
123.534732,-5744.195669,-36835.555653,-29533.032123
